{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.9.0', 'IMP_VERSION': '2.9.0'}", 'STAT2HEADER_ENVIRON': "{'CONDA_PYTHON_EXE': '/anaconda2/bin/python', 'TERM_PROGRAM_VERSION': '3.2.3', 'LOGNAME': 'andy', 'USER': 'andy', 'HOME': '/Users/andy', 'PATH': '/anaconda2/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin', 'TERM_PROGRAM': 'iTerm.app', 'LANG': 'en_GB.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.a4zfTx7TRY/Render', 'COLORFGBG': '15;0', 'SHLVL': '1', 'CONDA_PREFIX': '/anaconda2', 'XPC_FLAGS': '0x0', 'ITERM_SESSION_ID': 'w0t0p0:A1892B25-CF04-4F6E-BC94-DA3590C84CC8', '_': '/anaconda2/bin/python', 'CONDA_DEFAULT_ENV': 'base', 'TERM_SESSION_ID': 'w0t0p0:A1892B25-CF04-4F6E-BC94-DA3590C84CC8', 'XPC_SERVICE_NAME': '0', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.Qle2Bp5r1c/Listeners', 'CONDA_SHLVL': '1', 'CONDA_PROMPT_MODIFIER': '', 'SHELL': '/bin/bash', 'ITERM_PROFILE': 'Default', 'TMPDIR': '/var/folders/b5/9qknx8yd47s4n02xkx671b6m0000gn/T/', 'OLDPWD': '/Users/andy/Dropbox/Shared_Argyris/MIMB_Manuscript/3_TS_Crosslinking/output_atomistic', '__CF_USER_TEXT_ENCODING': '0x0:0:0', 'PWD': '/Users/andy/Dropbox/Shared_Argyris/MIMB_Manuscript/3_TS_Crosslinking', 'COLORTERM': 'truecolor', 'CONDA_EXE': '/anaconda2/bin/conda'}"} 
{0: '0', 1: '1.0', 2: 722.777135284532, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 716.6702204297271, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 719.2887063760039, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 720.1036030671319, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 720.9647529228894, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 720.2700874755128, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 724.3115781224096, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.8748397294472, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 726.907772948012, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 722.3874070125037, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 726.0623218071329, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 724.1361527803078, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 725.4959706196744, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 721.0226365054372, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 725.1720479137746, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 719.7971220322626, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.5061250787799, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.8771415354352, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.505625452374, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.0280532661093, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.7263527958346, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.0297390628165, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.8177882085215, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.5438930610036, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.3692398957842, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.1988460954632, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.8356760541132, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.6762516338908, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.0807147871412, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.1000778587451, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.232172521121, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.8354597101735, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.9211777068858, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.5751024924667, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.3494753242255, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.6049017533048, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 722.5967311830616, 3: '0.0', 4: '1.0'} 
